"Latitud ","Longitud","","",""
"-22.90925430","-43.19336870","","",""
"-22.91847879","-43.22674166","","",""
"-22.91410490","-43.18186820","","",""
"-22.98333920","-43.19242880","","",""
"-22.96550780","-43.18343730","","",""
"-22.96550780","-43.18343730","","",""
"-22.96730665","-43.18146966","","",""
"-22.93725780","-43.17592130","","",""
"-22.92289470","-43.21713300","","",""
"-22.98242300","-43.20567500","","",""
"-22.92130000","-43.19729540","","",""
"-22.92768700","-43.17555150","","",""
"-22.92336810","-43.23528780","","",""
"-22.94961000","-43.18683700","","",""
"-22.98442280","-43.23096732","","",""
"-22.94594430","-43.18573670","","",""
"-22.98654025","-43.19384471","","",""
"-22.94311192","-43.19220946","","",""
"-22.89728230","-43.19389930","","",""
"-22.95519720","-43.19575160","","",""
"-22.94975070","-43.18572610","","",""
"-22.93259370","-43.17842090","","",""
"-22.98385490","-43.20267130","","",""
"-22.93578790","-43.18494400","","",""
"-22.93318410","-43.18203750","","",""
"-22.96648650","-43.17967290","","",""
"-22.96310470","-43.17774930","","",""
"-22.96152020","-43.17320850","","",""
"-22.95752700","-43.19562200","","",""
"-22.91276030","-43.18750350","","",""
"-22.91340510","-43.21999130","","",""
"-22.91847879","-43.22674166","","",""
"-22.98132112","-43.19297802","","",""
"-22.91766848","-43.18722334","","",""
"-22.96938140","-43.18490990","","",""
"-22.92905900","-43.23095100","","",""
"-22.92352770","-43.22855390","","",""
"-22.90513110","-43.20181750","","",""
"-22.96651000","-43.17951200","","",""
"-22.93932553","-43.17371506","","",""
"-22.95189950","-43.17603910","","",""
"-22.89944700","-43.17948400","","",""
"-22.97247755","-43.19037359","","",""
"-22.98198000","-43.20570810","","",""
"-22.96389300","-43.17258100","","",""
"-22.91498310","-43.18979280","","",""
"-22.97420020","-43.19132440","","",""
"-22.90785310","-43.17333630","","",""
"-22.94095200","-43.18093630","","",""
"-22.96597100","-43.18935590","","",""
"-22.98514000","-43.20313330","","",""
"-22.92988789","-43.17581255","","",""
"-22.98245760","-43.19026560","","",""
"-22.97516130","-43.22844520","","",""
"-22.93471000","-43.18405300","","",""
"-22.93686480","-43.17859190","","",""
"-22.96580640","-43.17828530","","",""
"-22.96993780","-43.18501430","","",""
"-22.92067670","-43.21849570","","",""
"-22.92204550","-43.20731510","","",""
"-22.97354750","-43.18891930","","",""
"-22.97393400","-43.19124790","","",""
"-22.97718310","-43.19172080","","",""
"-22.90875340","-43.17106460","","",""
"-22.92220220","-43.17978660","","",""
"-22.90389930","-43.17536660","","",""
"-22.94924780","-43.18790210","","",""
"-22.91242580","-43.19290950","","",""
"-22.97255600","-43.20389600","","",""
"-22.96294000","-43.17497160","","",""
"-22.93300150","-43.17543510","","",""
"-22.95196130","-43.18630130","","",""
"-22.94549480","-43.18218070","","",""
"-22.98290540","-43.19014760","","",""
"-22.95992030","-43.20596020","","",""
"-22.91653450","-43.18849500","","",""
"-22.96269440","-43.17323850","","",""
"-22.92050850","-43.19449330","","",""
"-22.92510500","-43.18286300","","",""
"-22.97501110","-43.22853750","","",""
"-22.91617310","-43.19224970","","",""
"-22.91377050","-43.20108220","","",""
"-22.96993780","-43.18501430","","",""
"-22.98468300","-43.19996400","","",""
"-22.91596985","-43.22396891","","",""
"-22.97763110","-43.19130820","","",""
"-22.96631970","-43.18120880","","",""
"-22.91432790","-43.18287280","","",""
"-22.97636000","-4,319,211.00000000","","",""
"-22.97667870","-43.22909195","","",""
"-22.93627950","-43.17564380","","",""
"-22.91876860","-43.18100540","","",""
"-22.93474130","-43.17735240","","",""
"-22.92969980","-43.17584980","","",""
"-22.96287000","-43.17421100","","",""
"-22.98352410","-43.21370850","","",""
"-22.96193400","-43.16940700","","",""
"-22.97130420","-43.18588340","","",""
"-22.97193830","-43.18779350","","",""
"-22.91051400","-43.18883520","","",""
"-22.96199530","-43.17423370","","",""
"-22.93819980","-43.19220650","","",""
"-22.92338150","-43.23194090","","",""
"-22.93570670","-43.18635230","","",""
"-22.91275610","-43.19075520","","",""
"-22.98243430","-43.21107670","","",""
"-22.90877060","-43.19404920","","",""
"-22.94967850","-43.18544240","","",""
"-22.91426070","-43.18331800","","",""
"-22.96615910","-43.18543750","","",""
"-22.95662210","-43.19814710","","",""
"-22.96877700","-43.18562900","","",""
"-22.96602580","-43.17813660","","",""
"-22.96314060","-43.17565980","","",""
"-22.96770800","-43.18406860","","",""
"-22.97121770","-43.18573020","","",""
"-229,492,054.00000000","-43.18538880","","",""
"-22.96770800","-43.18406860","","",""
"-22.93711000","-43.17753300","","",""
"-22.97992749","-43.21974278","","",""
"-22.95390911","-43.19260821","","",""
"-22.91645145","-43.19257904","","",""
"-22.96705670","-43.18817310","","",""
"-22.98180070","-43.20049320","","",""
"-22.94139750","-43.18172620","","",""
"-22.98719510","-43.19292540","","",""
"-22.98684240","-43.19396140","","",""
"-22.92397309","-43.17856056","","",""
"-22.94915210","-43.18595310","","",""
"-22.91595350","-43.18996690","","",""
"-229,212,095.00000000","-43.18424050","","",""
"-22.98221860","-43.19622310","","",""
"-22.98245760","-43.19026560","","",""
"-22.91825398","-43.18887591","","",""
"-22.93314900","-43.17539380","","",""
